LATITUDE,LONGITUDE,risk_score,num_crashes,high_risk,nearby_311_reports
35.230168,-80.860398,1,1,1,0
35.231817,-80.873814,1,1,1,0
35.232067,-80.850978,1,1,1,0
35.232076,-80.844869,1,1,1,0
35.232095,-80.851019,1,1,1,0
35.233118,-80.876217,1,1,1,0
35.233639,-80.848577,1,1,1,0
35.235108,-80.840868,1,1,1,0
35.237931,-80.858846,1,1,1,0
35.239207,-80.846426,1,1,1,0
35.23948,-80.875658,1,1,1,0
35.244553,-80.84954,1,1,1,0
35.245865,-80.846236,1,1,1,0
35.247305,-80.840652,1,1,1,0
35.251115,-80.858606,1,1,1,0
35.252393,-80.856172,1,1,1,1
35.255002,-80.873261,1,1,1,0
35.25879,-80.87321,1,1,1,0
35.259329,-80.859697,1,1,1,0
35.259582,-80.879033,1,1,1,0
35.260141,-80.855204,1,1,1,6
35.26047,-80.87591,1,1,1,0
35.260564,-80.875806,1,1,1,0
35.26099,-80.84093,1,1,1,0
35.261946,-80.849902,1,1,1,0
35.26203,-80.87851,1,1,1,0
35.262148,-80.850214,1,1,1,0
35.262151,-80.878552,1,1,1,0
35.262814,-80.87933,1,1,1,0
35.262968,-80.854755,1,1,1,0
35.262998,-80.854685,1,1,1,0
35.264295,-80.854432,1,1,1,0
35.264473,-80.87672,1,1,1,0
35.265148,-80.854242,1,1,1,0
35.265934,-80.854041,1,1,1,0
35.27164,-80.85147,1,1,1,0
35.272143,-80.854277,1,1,1,0
35.272167,-80.854272,1,1,1,0
35.276338,-80.855322,1,1,1,5
35.277512,-80.85562,1,1,1,0
35.280788,-80.85653,1,1,1,0
35.281932,-80.856922,1,1,1,1
35.285333,-80.848191,1,1,1,0
35.293839,-80.856558,1,1,1,0
